date_month,crypto_id,id_name,open,close,diff_oc,mean_oc,high,low,diff_hl,mean_hl,volume,number_of_trades
2022-08,SAND,The Sandbox,1.3076,0.9427,-0.3649000000000001,1.12515,1.4287,0.9168,0.5119000000000001,1.17275,877825397.0,3337022
2022-08,SHIB,Shiba Inu,1.17e-05,1.21e-05,3.9999999999999956e-07,1.19e-05,1.8e-05,1.145e-05,6.55e-06,1.4725e-05,262948594621813.0,6728527
2022-08,SOL,Solana,42.34,31.5,-10.840000000000003,36.92,48.38,30.0,18.380000000000003,39.19,114866446.86,7981447
2022-08,STMX,StormX,0.00962,0.007939,-0.0016810000000000002,0.008779499999999999,0.01899,0.00713,0.011859999999999999,0.01306,11867655276.0,448881
2022-08,SUSHI,SushiSwap,1.446,1.034,-0.4119999999999999,1.24,1.621,0.993,0.628,1.307,148208137.9,854327
2022-08,TFUEL,Theta Fuel,0.0609,0.0599,-0.0010000000000000009,0.0604,0.0843,0.0533,0.031,0.0688,1730045380.0,452160
2022-08,THETA,Theta Network,1.338,1.158,-0.18000000000000016,1.248,1.715,1.081,0.6340000000000001,1.3980000000000001,293725447.1,1509008
2022-08,TRX,TRON,0.06886,0.06339,-0.005470000000000003,0.066125,0.07241,0.06095,0.011460000000000005,0.06668,13373194790.6,2863521
2022-08,UNI,Uniswap,8.33,6.15,-2.1799999999999997,7.24,9.62,5.68,3.9399999999999995,7.6499999999999995,82408428.23,1599670
2022-08,VET,VeChain,0.0271,0.02422,-0.0028800000000000006,0.02566,0.03387,0.0234,0.010469999999999997,0.028635,15987816883.2,1826528
2022-08,WAVES,Waves,5.669,4.499,-1.17,5.084,6.666,4.3,2.3660000000000005,5.4830000000000005,173051542.18,2614693
2022-08,XEM,NEM,0.0494,0.044,-0.005400000000000002,0.0467,0.0626,0.0424,0.020200000000000003,0.052500000000000005,701754371.0,175619
2022-08,XLM,Stellar,0.1176,0.1043,-0.013299999999999992,0.11095,0.1387,0.1004,0.03829999999999999,0.11954999999999999,1807736324.0,907154
2022-08,XRP,Ripple,0.3791,0.3277,-0.0514,0.3534,0.3946,0.3186,0.07600000000000001,0.35660000000000003,6634341713.0,4082257
2022-08,XTZ,Tezos,1.738,1.51,-0.22799999999999998,1.624,2.038,1.418,0.6199999999999999,1.7279999999999998,80265575.2,726945
2022-08,ZEC,Zcash,64.4,59.9,-4.500000000000007,62.150000000000006,82.8,58.9,23.9,70.85,4247588.849,760308
2022-08,ZIL,Zilliqa,0.04266,0.03621,-0.006449999999999997,0.039435,0.04971,0.03488,0.014829999999999996,0.042295,10237083978.9,1602188
2022-09,AAVE,Aave,84.8,74.6,-10.200000000000003,79.69999999999999,97.0,70.4,26.599999999999994,83.7,3752771.249,998740
2022-09,ADA,Cardano,0.4461,0.4347,-0.011400000000000021,0.4404,0.5242,0.4251,0.09910000000000002,0.47465,4569390707.3,4811200
2022-09,ALGO,Algorand,0.2885,0.3535,0.065,0.32099999999999995,0.41,0.2806,0.12939999999999996,0.3453,1653252227.0,2220115
2022-09,ATOM,Cosmos,11.816,13.024,1.2079999999999984,12.42,17.198,11.456,5.742000000000001,14.327,155120074.82,6529986
2022-09,AVAX,Avalanche,19.14,17.2,-1.9400000000000013,18.17,21.91,16.19,5.719999999999999,19.05,65461800.15,2646032
2022-09,BAT,Basic Attention Token,0.3351,0.3031,-0.03200000000000003,0.3191,0.3642,0.2847,0.07950000000000002,0.32445,259912314.0,389229
2022-09,BCH,Bitcoin Cash,115.0,120.1,5.099999999999994,117.55,140.2,106.4,33.79999999999998,123.3,3225972.891,1221169
2022-09,BNB,Binance Coin,279.3,284.8,5.5,282.05,300.0,256.7,43.30000000000001,278.35,11042786.764,5937325
2022-09,BTC,Bitcoin,20048.44,19422.61,-625.8299999999981,19735.525,22799.0,18125.98,4673.02,20462.489999999998,9838930.53657,175214455
2022-09,CAKE,PancakeSwap,3.916,4.765,0.8489999999999998,4.3405,5.089,3.845,1.2440000000000002,4.4670000000000005,43716044.67,889947
2022-09,CHZ,Chiliz,0.2178,0.2353,0.017500000000000016,0.22655,0.2828,0.1776,0.10519999999999999,0.23020000000000002,10912062469.0,4777065
2022-09,CRV,Curve DAO Token,1.147,0.917,-0.22999999999999998,1.032,1.277,0.837,0.43999999999999995,1.057,450164529.5,1239845
2022-09,DASH,Dash,44.5,41.95,-2.549999999999997,43.225,50.18,39.01,11.170000000000002,44.595,3235384.967,588317
